DRIVER_NAME,location,match_type,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,range_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,range_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,range_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,range_S3,skew_S3,Total_Lap_Num,PIT_TIME_sum,cnt_CROSSING_FINISH_LINE_IN_PIT
 MA Qing Hua,Marrakesh,Race,0,TECHEETAH,121.99090909090907,8.084760495693569,124.0,125.2,80.1,45.10000000000001,-4.741611532409693,31963.0,8215.599742258626,30353.0,77333.0,30105.0,47228.0,5.599985086686891,37832.545454545456,979.6397963955022,37507.0,41938.0,36962.0,4976.0,2.8937373120814325,18424.848484848484,622.6447683677721,18307.0,21597.0,17904.0,3693.0,4.4629094951679225,33.0,53123.0,1
 MA Qing Hua,Newyork2,FP1,0,NIO Formula E Team,89.78095238095239,24.725100991656618,99.4,104.0,16.4,87.6,-2.605187700935277,39742.19047619047,32748.13465621981,31839.0,182192.0,29859.0,152333.0,4.533448067496468,28401.238095238095,3317.2632078983697,27107.0,38681.99999999999,25506.999999999996,13174.999999999996,1.9879059544765412,48452.90476190476,94630.85526027162,27193.0,461289.0,25758.0,435531.0,4.5765090613010635,21.0,574340.0,1
 MA Qing Hua,Newyork2,Q,1.0,NIO Formula E Team,74.93333333333332,36.8746977388742,93.1,99.2,32.5,66.7,-1.6788798919408594,54313.333333333336,37394.81897714353,33244.0,97489.0,32207.0,65282.0,1.7305524585087926,28552.333333333332,1275.3745854976623,29261.0,29316.0,27080.0,2236.0,-1.7284277197394302,27890.333333333332,1207.1691403168525,27685.0,29186.999999999996,26799.0,2387.9999999999964,0.7432815692075828,3.0,59047.0,0
 MA Qing Hua,Newyork2,Race,0,NIO Formula E Team,102.34418604651161,16.140738409022955,109.0,110.8,51.4,59.4,-2.4575634057421416,30831.372093023256,8950.289344053122,28904.0,55888.99999999999,0.0,55888.99999999999,0.8804827015920906,26101.0,8545.470131286274,24434.0,53925.0,0.0,53925.0,1.8003194102020612,28415.232558139534,9971.566937665277,24795.0,65663.0,24339.0,41324.0,2.834140331704545,42.0,80738.0,2
 MA Qing Hua,Paris,FP1,0,NIO Formula E Team,90.40799999999999,26.75845536149897,103.1,108.3,11.6,96.7,-2.2524344752174654,21504.56,9303.399535832765,18346.0,58471.0,17614.0,40857.0,3.4432406495757992,28167.48,4041.0164162827487,25951.0,41570.0,25084.0,16486.0,1.826582211596275,58680.88,122541.52076042088,22882.0,546474.0,21089.0,525385.0,3.548066059134761,25.0,854925.0,2
 MA Qing Hua,Paris,FP2,0,NIO Formula E Team,83.59333333333333,32.32929822636928,94.3,109.5,14.6,94.9,-1.4565488426064102,23015.6,13042.899764130016,20208.0,69621.0,17446.0,52175.0,3.722174603614697,28033.066666666666,3658.7414008228625,26520.0,36165.0,24947.0,11218.0,1.0491019799941648,72374.6,127534.80870043731,23482.0,429200.0,20727.0,408473.0,2.489790485925945,15.0,749687.0,2
 MA Qing Hua,Paris,Q,4.0,NIO Formula E Team,82.63333333333333,33.69114621578396,93.3,109.7,44.9,64.80000000000001,-1.281899046719082,35275.666666666664,29749.09708433742,19071.0,69609.0,17147.0,52462.0,1.7239040199245965,27218.666666666668,2207.1729278272096,27469.0,29290.0,24897.0,4393.0,-0.5038160218295307,24313.666666666668,3295.0238744709172,24447.0,27540.0,20954.0,6586.0,-0.18179460005521436,3.0,47429.0,0
 MA Qing Hua,Paris,Race,0,NIO Formula E Team,101.88510638297878,13.660606306542533,106.1,107.5,27.8,79.7,-4.546103456074803,20541.127659574468,15064.402020797848,18067.0,121475.0,17821.0,103654.0,6.8252295128562785,25985.63829787234,2637.7162258413255,25182.0,42684.0,24781.0,17903.0,5.758739189060098,23766.106382978724,9173.18311410812,21844.0,83534.0,21453.0,62081.0,6.318396550383546,46.0,56041.0,1
Adam CARROLL,Berlin2,FP1,0,Panasonic Jaguar Racing,100.10416666666667,30.52613248501607,113.4,117.0,16.8,100.2,-2.150421981657114,28863.333333333332,7544.039603304841,26723.5,63269.0,26189.0,37080.0,4.4865452566865995,20651.625,690.0396215782285,20440.5,22515.0,19852.999999999996,2662.0000000000036,1.410599668540303,62034.375,108638.64657894739,24613.0,440779.0,23908.0,416871.0,2.9863478017212697,24.0,945105.0,3
Adam CARROLL,Berlin2,FP2,0,Panasonic Jaguar Racing,92.83076923076922,35.7178149904541,110.8,117.2,13.8,103.4,-1.6711056476230413,30866.53846153846,11347.58790533172,26508.0,68064.0,26300.0,41764.0,3.422395236258794,21510.846153846152,1662.1693077699126,21034.000000000004,25489.0,19897.000000000004,5591.999999999996,1.2360464183150834,87522.84615384616,158445.91712886668,24405.0,545655.0,23642.0,522013.0,2.586671281062876,13.0,860818.0,2
Adam CARROLL,Berlin2,Q,2.0,Panasonic Jaguar Racing,99.3,27.83451095313155,112.7,117.9,67.3,50.60000000000001,-1.6642917062818874,42449.333333333336,27467.699818756817,27296.0,74156.0,25896.0,48260.0,1.7269901485171386,21094.0,1234.22971929864,21143.0,22303.0,19836.0,2467.0,-0.1783723511032949,24472.333333333332,785.1053007930419,24266.0,25340.0,23811.0,1529.0,1.1009599119805997,3.0,44226.0,0
Adam CARROLL,Berlin2,Race,0,Panasonic Jaguar Racing,110.68478260869567,7.003585348196205,112.1,114.0,67.3,46.7,-5.693408524857533,27611.739130434784,1620.291941249856,27278.5,37753.0,26680.999999999996,11072.000000000004,5.766023299981156,20945.108695652172,725.3891592567052,20794.5,25416.999999999996,20517.0,4899.999999999996,5.466752515177089,25955.782608695652,6265.3506983977395,25038.0,67469.0,24547.0,42922.0,6.7537648620582695,46.0,49518.0,1
Adam CARROLL,Berlin,FP1,0,Panasonic Jaguar Racing,99.75,31.38904494974549,114.2,116.9,12.2,104.7,-2.177254385288152,30506.590909090908,13121.734723656347,26897.0,88695.0,26090.0,62605.0,4.548361240261006,22456.636363636364,7112.303622164398,20366.0,53935.0,19761.0,34174.0,4.519438717510132,70730.72727272728,150219.43991063518,24428.5,618053.0,23976.0,594077.0,3.25086518718423,22.0,1079294.0,2
Adam CARROLL,Berlin,FP2,0,Panasonic Jaguar Racing,97.8625,31.14610462535136,111.3,117.6,17.0,100.6,-2.1397764802785244,29332.375,6714.933495575366,27306.0,53773.0,26172.0,27601.0,3.637795038426544,20996.5,1159.2310669865035,20512.0,24177.0,19934.0,4243.0,1.7322891099683526,65450.8125,113994.93997262552,25005.0,434296.0,23582.0,410714.0,2.8920359865035863,16.0,683729.0,2
Adam CARROLL,Berlin,Q,1.0,Panasonic Jaguar Racing,88.53333333333335,44.979365639516665,111.6,117.3,36.7,80.6,-1.7008109952086108,75939.33333333333,85117.13485740303,27359.0,174222.0,26237.0,147985.0,1.7317122309138473,21477.333333333332,1526.940186560473,21435.0,23025.0,19972.0,3053.0,0.12466341279324834,24800.666666666668,1195.927394674666,24647.0,26066.0,23689.0,2377.0,0.5686660148752283,3.0,143416.0,0
Adam CARROLL,Berlin,Race,0,Panasonic Jaguar Racing,111.56590909090906,6.602287946695315,113.05,114.3,71.8,42.5,-5.5155371408502445,27497.545454545456,1600.3329225514658,27193.5,37354.0,26791.999999999996,10562.000000000004,5.761153375819136,20684.272727272728,191.9068770822428,20622.5,21281.0,20392.0,889.0,1.1099628582539336,25666.340909090908,6154.084935447848,24785.5,65532.0,24223.0,41309.0,6.61853074805319,44.0,49963.0,1
Adam CARROLL,Buenos,FP1,0,Panasonic Jaguar Racing,108.63157894736842,28.8067517670497,120.5,124.7,9.2,115.5,-2.733487142498006,68724.73684210527,204432.7936975437,19088.0,911424.0,18286.0,893138.0,4.3338539258937585,26919.0,4525.979722054049,25297.0,43315.0,24749.0,18566.0,3.1243389488362983,31495.526315789473,6433.229000608404,29627.0,57662.0,28542.0,29120.0,4.149170700418397,19.0,960244.0,2
Adam CARROLL,Buenos,FP2,0,Panasonic Jaguar Racing,109.17222222222223,28.225099500800084,121.4,124.4,11.0,113.4,-2.8252498089997715,60786.055555555555,170886.1618365631,18442.5,744705.0,18050.0,726655.0,4.226180142187358,25939.666666666668,2279.3135447529176,25182.0,32320.999999999996,24480.0,7840.999999999996,2.3224558512169113,32936.22222222222,7817.164692525377,29804.5,56805.0,28842.0,27963.0,2.5131414607152682,18.0,774331.0,1
Adam CARROLL,Buenos,Q,1.0,Panasonic Jaguar Racing,83.425,50.22233069063999,94.5,125.8,18.9,106.9,-0.760870332869262,32080.0,24207.813325453415,20963.0,68217.0,18177.0,50040.0,1.943913101723478,26926.75,3281.3357417368925,26062.5,31419.0,24163.0,7256.0,1.1416664599972115,127973.25,193163.18595490704,32798.0,417691.0,28606.0,389085.0,1.9988827474022202,4.0,54164.0,1
Adam CARROLL,Buenos,Race,0,Panasonic Jaguar Racing,117.29444444444442,13.605564921215027,121.1,124.5,56.3,68.2,-3.6766277474951106,22799.305555555555,14295.928702794961,19128.5,91776.0,18374.0,73402.0,4.188068314023241,25449.86111111111,751.3647831124296,25260.5,28210.0,24502.0,3708.0,2.333036742902277,29647.083333333332,1929.1339044837125,29069.0,39461.0,28668.0,10793.0,4.171875379768974,36.0,82472.0,2
Adam CARROLL,HongKong,FP1,0,Panasonic Jaguar Racing,80.5294117647059,33.80983149739662,97.5,102.9,7.7,95.2,-1.5302847479088393,22463.352941176472,10675.039964451984,19134.0,63365.0,18766.0,44599.0,3.9555288334216794,22237.882352941175,1345.8085340397115,21661.0,25647.0,20806.0,4841.0,1.5877462125030561,116855.41176470589,224589.14729096406,26167.0,830916.0,25443.0,805473.0,2.646227873518464,17.0,1568000.0,3
Adam CARROLL,HongKong,FP2,0,Panasonic Jaguar Racing,89.34705882352944,24.111929559013383,98.6,104.6,9.9,94.69999999999999,-2.79537412483538,23996.647058823528,16122.256859467507,19458.0,86127.0,18482.0,67645.0,4.030330614526166,22690.058823529413,2094.586429065062,22081.0,27655.0,20520.0,7135.0,1.3846926069938104,62217.470588235294,145317.03644837966,26228.0,626066.0,25018.0,601048.0,4.121510559633605,17.0,666433.0,1
Adam CARROLL,HongKong,Q,1.0,Panasonic Jaguar Racing,86.73333333333335,25.444907807522767,98.8,103.9,57.5,46.400000000000006,-1.6540989941434723,34645.0,26771.513890701062,19765.0,65551.0,18619.0,46932.0,1.7284809276281574,22133.666666666668,1741.6315147967803,21878.0,23989.0,20534.000000000004,3454.9999999999964,0.6463522151274577,26092.333333333332,786.9951291674762,26157.0,26845.0,25275.0,1570.0,-0.3672643295209146,3.0,41620.0,0
Adam CARROLL,HongKong,Race,1.0,Panasonic Jaguar Racing,96.33111111111113,13.880673651163365,101.7,103.4,47.6,55.800000000000004,-2.7385875616020594,20520.48888888889,5079.578215409687,19018.0,47245.0,18671.0,28574.0,4.172284319207363,23287.444444444445,6543.679270019956,21397.0,55010.0,20879.0,34131.0,3.978092879374891,28128.444444444445,8830.058273656046,25503.0,72797.0,25021.0,47776.0,3.995478659065925,45.0,52593.0,1
Adam CARROLL,Marrakesh,FP1,0,Panasonic Jaguar Racing,109.22,32.212462446110905,121.25,127.8,15.9,111.89999999999999,-2.46992352652437,79465.4,149468.87168426882,30576.0,612441.0,29534.0,582907.0,3.1685623679687756,39450.45,4833.667055962246,38073.0,58846.0,36752.0,22094.0,3.7338630862447033,19026.7,1357.0667710369426,18526.5,21714.000000000004,17409.000000000004,4305.0,0.7852631254512138,20.0,986497.0,2
Adam CARROLL,Marrakesh,FP2,0,Panasonic Jaguar Racing,107.08461538461539,29.028056719716478,119.9,126.8,21.2,105.6,-2.471561758756927,63643.53846153846,113870.49976297299,30679.0,442230.0,28871.0,413359.0,3.592488162533257,41487.692307692305,8482.68333513061,38376.0,68119.0,36731.0,31388.0,3.0110100123448387,21371.23076923077,7116.758240868827,18804.000000000004,44324.0,17541.0,26783.0,3.2363894652563348,13.0,438910.0,2
Adam CARROLL,Marrakesh,Q,4.0,Panasonic Jaguar Racing,84.86666666666667,68.73400419976515,124.3,124.8,5.5,119.3,-1.731947695981129,650971.0,1073073.32497225,32234.0,1890049.0,30630.0,1859419.0,1.7320464538239804,38118.666666666664,2030.262134142616,37573.0,40366.0,36417.0,3949.0,1.122084541373369,18233.333333333332,1352.1395391502065,17492.0,19794.0,17414.0,2380.0,1.7255688119652222,3.0,1863385.0,0
Adam CARROLL,Marrakesh,Race,0,Panasonic Jaguar Racing,122.00909090909093,7.972741201915891,124.0,126.0,81.3,44.7,-4.528675347089234,31994.939393939392,7913.27587009401,30461.0,75661.0,30015.0,45646.0,5.587251512996795,37892.181818181816,878.0008703919883,37733.0,41067.0,36934.0,4133.0,2.198165976783382,18290.636363636364,1045.9190879969462,18079.0,23949.0,17694.0,6255.0,5.2372487187796075,33.0,52310.0,1
Adam CARROLL,Mexico,FP1,0,Panasonic Jaguar Racing,102.3192307692308,27.75664272538405,113.0,116.5,14.1,102.4,-2.7519951162044487,52019.92307692308,123511.54510439032,16028.5,483406.0,15338.0,468068.0,3.3685959504591616,31117.076923076922,4587.937601346181,29990.5,53027.0,28980.0,24047.0,4.700058028213748,21214.73076923077,2296.2448398669044,20393.5,29791.0,19983.0,9808.0,2.850840975103879,26.0,962100.0,2
