DRIVER_NAME,location,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,skew_S3,Total_Lap_Num,cnt_CROSSING_FINISH_LINE_IN_PIT
Adam CARROLL,Paris,0.0,Panasonic Jaguar Racing,93.60212765957445,25.718598323440553,103.7,109.5,14.7,-2.338761055009432,22296.936170212764,17935.78608646176,18139.0,106820.0,16935.0,4.629415534284534,27044.468085106382,5153.0250923336425,25780.0,59836.99999999999,24799.0,5.9049604252480385,48517.8085106383,89555.88229597406,22104.0,406206.0,20772.0,3.4948760866307937,29.0,4
Adam CARROLL,Paris,4.0,Panasonic Jaguar Racing,95.85882352941177,18.144444620550807,105.2,108.4,50.9,-1.6423457613269155,21468.098039215685,10217.734066327825,18032.0,73843.0,14012.0,3.5985940818598086,27714.019607843136,5237.732881658613,25774.0,52961.99999999999,24926.0,3.246886403392588,26806.21568627451,12993.846890453535,21959.0,92544.0,21274.0,3.4622097863116794,48.0,2
Adam CARROLL,newyork2,0.0,Panasonic Jaguar Racing,99.46122448979591,14.228621629286078,104.1,106.1,40.3,-2.9373781548175826,28494.081632653062,7526.65966702343,26564.0,74040.0,26135.0,5.178284197683129,20621.0,6134.546519507372,18880.0,44203.0,18311.0,3.4781704609781983,24160.877551020407,10345.948658840356,22024.0,89957.0,21487.0,5.824076289551182,49.0,1
Adam CARROLL,newyork2,4.0,Panasonic Jaguar Racing,93.83333333333336,27.65496522234796,104.95,111.4,8.4,-2.3272612951738605,29516.5,10570.747162108144,26367.5,68750.0,24755.0,3.2593210915431174,19134.375,1437.9993291556764,18600.0,23720.0,17670.0,1.7452953862165856,65968.29166666667,164879.99023149328,21892.5,792631.0,20318.0,4.177773660342295,21.0,2
Alex Fontana,London10,0.0,Trulli Formula E Team,92.86896551724139,28.339675664142106,103.9,118.0,13.4,-1.6778596854343568,32928.68965517241,19524.220705325126,26112.0,110333.0,24077.0,3.3585334882821156,37775.58620689655,3920.0093614797215,36599.0,49303.99999999999,33049.0,1.2886762948911705,78111.68965517242,139220.858357222,36405.0,714247.0,31840.0,3.924010001895147,17.0,3
Alex Fontana,London10,2.0,Trulli Formula E Team,100.99333333333333,24.178302232592237,111.35,119.5,10.0,-2.3583628405613712,59721.666666666664,172462.10416711005,25631.0,972158.0,23495.0,5.464068804293156,37785.96666666667,8061.629438627597,34635.0,64597.0,32705.0,2.518056668418867,39058.86666666667,15264.273069047107,34159.5,108319.0,31819.000000000004,3.735068947770394,25.0,2
Alex Fontana,London11,1.0,Trulli Formula E Team,110.28529411764706,12.399612221525585,114.5,122.9,64.5,-2.4737946984452908,26104.441176470587,6431.1515825902525,24303.5,59929.0,22794.0,4.768450584427659,35510.58823529412,5245.28495408537,34314.0,63020.0,32043.0,4.779627432173774,35524.76470588235,12474.642223712297,32869.5,105385.0,30852.0,5.646302679649945,29.0,1
Alex Fontana,London11,2.0,Trulli Formula E Team,98.47941176470589,27.816996977668435,111.55,122.4,17.9,-1.660327172829278,29759.676470588234,13647.036911649151,24068.0,84364.0,22473.0,2.8512145445739896,35799.705882352944,3081.917147623023,34283.0,44386.0,31947.0,1.198984637193478,64687.44117647059,95452.10022109334,34498.0,516617.0,31577.0,3.8103786634372363,19.0,4
Alex LYNN,Berlin,0.0,DS Virgin Racing,108.44367816091955,18.077518488053403,114.7,122.5,9.1,-3.62267701698048,28862.885057471263,9130.218784695251,26576.0,105473.0,25008.0,7.191688338484034,24791.080459770114,5164.333400371739,23294.0,60254.0,21708.000000000004,4.788783645366847,37858.75862068965,92904.63534984445,24631.0,851441.0,23167.0,8.24246769587542,45.0,3
Alex LYNN,Berlin,2.0,DS Virgin Racing,97.06666666666666,26.209222295469456,99.1,122.2,69.9,-0.34701251364364566,39160.0,18831.723898783137,31880.0,60545.0,25055.0,1.479639796964902,27538.0,5420.392328973982,28462.0,32436.999999999996,21715.0,-0.7448118001179919,26239.333333333332,3135.5312681160317,25997.0,29489.0,23232.0,0.34571056001265893,3.0,0
Alex LYNN,Marrakesh,0.0,DS Virgin Racing,116.33857142857143,23.173787621194244,125.65,133.4,16.4,-3.125858133313034,49254.78571428572,86531.12083964364,29987.0,591071.0,28333.0,5.219094882323978,39145.94285714286,5755.713264669563,37195.0,74412.0,34905.0,4.382491413288319,18986.114285714284,3531.7611099101982,18000.0,44010.0,16954.0,5.599291331496667,33.0,4
Alex LYNN,Marrakesh,2.0,DS Virgin Racing,97.86666666666667,47.33089195581817,116.8,132.8,44.0,-1.5120482775721185,80130.33333333333,86809.62907611881,31440.0,180356.0,28595.0,1.7299581734833849,38715.0,3554.6472398818987,39047.0,42092.0,35006.0,-0.4166284921004591,19563.0,2259.753747645971,20642.0,21081.0,16965.999999999996,-1.6588011726551686,3.0,0
Alex LYNN,Mexico city,0.0,DS Virgin Racing,109.3385542168675,20.962090238154026,116.8,122.4,10.9,-3.688070414278951,34972.48192771084,98086.80893229737,15350.0,631930.0,14464.0,5.511185334333854,30487.951807228917,2722.8828826762065,29291.0,41321.99999999999,28009.0,2.0562662273043095,20356.192771084337,1356.4414298560907,19811.0,25620.0,19108.0,2.293377073367556,47.0,4
Alex LYNN,Mexico city,3.0,DS Virgin Racing,106.6,11.770584805635902,104.6,121.9,88.8,0.1286829653026159,17134.85714285714,4373.694145249582,15482.0,26763.0,14341.0,2.340113004687975,31814.714285714286,3685.319376222624,30006.999999999996,37505.0,28329.0,0.6879058904607117,22466.714285714286,3087.5973784527937,21778.000000000004,26736.0,19160.0,0.576227176608667,4.0,2
Alex LYNN,Newyork,0.0,DS Virgin Racing,91.94444444444447,23.082564805060077,100.1,111.0,10.9,-2.640002974885451,28352.51111111111,3749.329416540692,27234.0,45608.0,25080.0,2.9512902627083935,20537.088888888888,2623.0854214613046,19685.0,31973.000000000004,17694.000000000004,2.628862630160143,52121.955555555556,109438.91147160086,22432.0,600449.0,20501.0,4.049183911986059,28.0,4
Alex LYNN,Newyork,3.0,DS Virgin Racing,99.24999999999999,17.79824169426315,105.5,111.6,33.1,-2.7025996847255453,33561.75,27516.479219531142,26352.0,167539.0,24936.0,4.651270789636453,18772.10714285714,744.4098502386134,18643.5,21553.0,17547.0,2.2860610711684335,23338.571428571428,8888.316502801206,21481.0,68564.0,20415.0,5.244036618621906,23.0,1
Alex LYNN,Newyork,0.0,DS Virgin Racing,98.97142857142859,21.673714413554755,107.4,116.3,6.6,-2.9776922521672655,30670.285714285714,6253.922797090385,29014.0,56786.0,0.0,-0.044969512038301164,25614.157142857144,3950.836769324544,24956.0,34068.00000000001,0.0,-3.551066301344587,56285.54285714286,155608.71273571494,25524.5,1235646.0,23515.0,6.77093307161268,33.0,5
Alex LYNN,Newyork,3.0,DS Virgin Racing,92.36666666666667,26.21780565442755,98.9,114.7,63.5,-1.0517402537583418,63671.333333333336,58421.36563221826,32424.999999999996,131071.0,27518.0,1.7183141063395984,26611.0,2993.9701067311944,26699.0,29560.0,23574.0,-0.13215158335589766,26658.666666666668,3024.6163944099317,27253.0,29342.0,23381.0,-0.8501021347837163,3.0,0
