location,season_year,match_name,match_type,mean_air_temp,std_air_temp,med_air_temp,max_air_temp,min_air_temp,range_air_temp,skew_air_temp,mean_track_temp,std_track_temp,med_track_temp,max_track_temp,min_track_temp,range_track_temp,skew_track_temp,mean_HUMIDITY,std_HUMIDITY,med_HUMIDITY,max_HUMIDITY,min_HUMIDITY,range_HUMIDITY,skew_HUMIDITY,mean_PRESSURE,std_PRESSURE,med_PRESSURE,max_PRESSURE,min_PRESSURE,range_PRESSURE,skew_PRESSURE,mean_WIND_SPEED,std_WIND_SPEED,med_WIND_SPEED,max_WIND_SPEED,min_WIND_SPEED,range_WIND_SPEED,skew_WIND_SPEED
Paris,2016-2017,Qualifying Group 3,Q,15.111133333333333,0.08605769382609996,15.11115,15.2222,15.0,0.22220000000000084,-0.0008715083121775154,24.7222,0.30431465294986937,24.7222,25.0,24.4444,0.5555999999999983,0.0,69.5,0.5477225575051674,69.5,70,69,1,0.0,1017.54,0.048989794855643296,1017.53,1017.61,1017.48,0.12999999999999545,0.3521141505296374,9.924296666666667,2.95291222069107,8.04672,14.4841,8.04672,6.437379999999999,1.095396967363194
Paris,2016-2017,Qualifying Group 4,Q,14.71112,0.07244368157403377,14.7222,14.7778,14.6111,0.16669999999999874,-0.5413273647982495,25.6667,0.2484271523002273,25.5556,26.1111,25.5556,0.5555000000000021,2.236067977499789,69.8,0.44721359549995915,70.0,70,69,1,-2.236067977499758,1017.7280000000001,0.0589067059001239,1017.71,1017.82,1017.68,0.14000000000010004,1.1462466420544755,7.724850000000001,3.095630937708822,8.04672,11.2654,3.21869,8.04671,-0.5901319009021928
Paris,2016-2017,Race,Race,18.552519999999998,0.40465367149187537,18.6111,19.0556,17.9444,1.1111999999999966,-0.2701529587787355,33.43434363636365,0.6598594984466345,33.8889,34.4444,32.2222,2.222200000000001,-0.22809202584085975,58.21818181818182,0.9562834906439172,58.0,61,57,4,0.5956626556919355,1018.1265454545455,0.06150032164382228,1018.12,1018.26,1017.95,0.30999999999994543,-0.4585174828128397,3.9209472727272736,2.0952097040475492,3.21869,8.04672,0.0,8.04672,0.2230539288372824
Paris,2016-2017,Superpole,Q,15.257572727272729,0.1615104460455057,15.3333,15.4444,15.0,0.4443999999999999,-0.5134378340543944,27.52525454545455,0.2901526369469561,27.7778,27.7778,27.2222,0.5555999999999983,-0.2127615795014371,68.54545454545455,0.8201995322647249,69.0,69,67,2,-1.504797534846536,1017.6581818181817,0.05288065465139259,1017.65,1017.78,1017.61,0.16999999999995907,1.2551674960746324,5.705857272727273,1.6668390103791724,6.43738,8.04672,3.21869,4.82803,-0.1472811160925607
Newyork,2017-2018,Non Qualifying Practice 1,FP1,23.22118518518519,0.23558339100200482,23.2222,23.6667,22.8333,0.8333999999999975,0.04268432716739133,27.942392592592594,0.25603600266579085,27.7778,28.3333,27.7778,0.5555000000000021,0.9179147788680049,72.29629629629629,0.6028119525811498,72.0,74,71,3,0.3109195740071931,1019.35962962963,0.06535715990465579,1019.34,1019.51,1019.24,0.2699999999999818,0.536731841612863,2.7309225925925933,1.2297083561164353,3.1828,5.30467,0.0,5.30467,0.15294218430376935
Newyork,2017-2018,Non Qualifying Practice 2,FP2,26.353709999999996,0.43585729501832343,26.41665,26.9444,25.7222,1.2222000000000008,-0.22113101321011147,33.759249999999994,0.8467333455393585,33.8889,35.0,32.2222,2.777799999999999,-0.20308684360863669,65.8,1.030567302759618,66.0,67,64,3,-0.3807546774616289,1018.6890000000002,0.07979931725571182,1018.675,1018.83,1018.56,0.2700000000000955,0.27693843388494815,1.9804096666666668,1.328422037738068,2.12187,4.24374,0.0,4.24374,-0.18334862310683275
Newyork,2017-2018,Qualifying 1 Group 1,Q,28.877760000000002,0.07241300297598599,28.8889,28.9444,28.7778,0.16660000000000252,-0.541446800340875,39.4444,0.0,39.4444,39.4444,39.4444,0.0,0.0,60.6,0.5477225575051667,61.0,61,60,1,-0.6085806194501975,1018.126,0.013416407865001366,1018.12,1018.15,1018.12,0.029999999999972715,2.2360679775082644,4.8802959999999995,2.442452533700502,5.30467,8.48747,2.12187,6.365600000000001,0.6064821086440709
Newyork,2017-2018,Qualifying 1 Group 2,Q,29.19445,0.1437818173483723,29.22225,29.3333,29.0,0.33330000000000126,-0.41558848779947855,40.1852,0.28691060628704473,40.0,40.5556,40.0,0.5555999999999983,0.9682458365518172,59.5,0.5477225575051664,59.5,60,59,1,0.0,1018.14,0.03687817782916483,1018.15,1018.19,1018.08,0.11000000000001364,-0.5742276824546084,3.3596233333333334,2.059049606800833,2.652335,6.3656,1.06093,5.30467,0.6383654135253789
Newyork,2017-2018,Qualifying 1 Group 3,Q,29.5,0.04973015181959322,29.5,29.5556,29.4444,0.11119999999999663,0.0,40.64818333333333,0.2267819253526773,40.5556,41.1111,40.5556,0.5555000000000021,2.449489742783249,59.666666666666664,0.5163977794943216,60.0,60,59,1,-0.9682458365518337,1018.0949999999999,0.04549725266429687,1018.1,1018.15,1018.02,0.12999999999999545,-0.7358303833477673,4.066915,1.4101498754635975,4.24374,6.3656,2.12187,4.243729999999999,0.440048806995228
Newyork,2017-2018,Qualifying 1 Group 4,Q,29.9722,0.03045337419728615,29.9722,30.0,29.9444,0.05559999999999832,0.0,41.4815,0.28691060628704457,41.6667,41.6667,41.1111,0.5555999999999983,-0.9682458365518172,58.666666666666664,0.5163977794943216,59.0,59,58,1,-0.9682458365518335,1018.1133333333333,0.01632993161854431,1018.12,1018.12,1018.08,0.03999999999996362,-2.449489742783179,4.243736666666667,0.9489291118870083,4.24374,5.30467,3.1828,2.12187,-7.903646234616264e-06
